epoch,train_loss,step
0,-0.09370579570531845,49
1,-0.19071203470230103,99
1,-0.25193238258361816,149
2,-0.18529187142848969,199
2,-0.2591094672679901,249
3,-0.385296493768692,299
3,-0.4007858633995056,349
4,-0.41532889008522034,399
4,-0.45219868421554565,449
5,-0.5192589163780212,499
5,-0.4990154206752777,549
6,-0.557548999786377,599
6,-0.6121048927307129,649
7,-0.5689644813537598,699
7,-0.5932102799415588,749
8,-0.5204806923866272,799
8,-0.5967071056365967,849
9,-0.6690816879272461,899
9,-0.6615813970565796,949
